Area,Intrusion_Name, Length, Danger_Level, Shortest_Dist_Wire, Volume, Date, Start_Point_X,Start_Point_Y,End_Point_X,End_PointvY,POINT-X,POINT-Y,Total_Length
Hegsetfoss,151,2.94,U3,4.45,1.54,8/10/2021,613888.6,6995070.7,613886.5,6995068.6,613891.3,6995064.8,2.94
Hegsetfoss,152,3.37,U2,3.66,11.97,8/10/2021,613856.6,6995038.9,613854.2,6995036.5,613851.5,6995042.5,3.37
Hegsetfoss,153,0.47,U3,4.75,0.13,8/10/2021,613728.6,6994910.2,613728.3,6994909.9,613724.8,6994913.8,0.47
Hegsetfoss,154,1.78,U3,3.9,2.37,8/10/2021,613671.6,6994852.9,613670.4,6994851.7,613674.6,6994848.5,1.78
Hegsetfoss,155,4.43,U3,3.85,3.65,8/10/2021,613652.7,6994834,613647.8,6994829,613645.9,6994833.4,6.98
Hegsetfoss,156,2.03,U2,4.31,3.01,8/10/2021,613611.6,6994792.8,613610.2,6994791.3,613616.2,6994787.7,2.03
Hegsetfoss,157,0.17,U3,4.9,0.06,8/10/2021,613462.9,6994643.4,613462.8,6994643.2,613467.8,6994638.4,0.17
Hegsetfoss,158,0.52,U3,4.86,0.13,8/10/2021,613454.3,6994634.6,613453.9,6994634.2,613456.8,6994631.7,0.52
Hegsetfoss,159,3.03,U2,3.81,11.58,8/10/2021,613406.5,6994586.2,613404.4,6994584,613401,6994589.8,3.03
Hegsetfoss,160,0.64,U3,4.73,0.19,8/10/2021,613317,6994496.5,613316.5,6994496,613312.5,6994501,0.64
Hegsetfoss,161,4.3,U3,3.67,5.7,8/10/2021,613309.7,6994489.2,613305.3,6994484.8,613304.3,6994491.9,6.31
Hegsetfoss,162,2.26,U3,4.16,1.66,8/10/2021,613294.6,6994474,613291.3,6994470.7,613296.3,6994467.3,4.61
Hegsetfoss,163,3.45,U2,3.5,9.41,8/10/2021,613055.7,6994233.7,613052.4,6994230.5,613057.4,6994227.3,4.62
Hegsetfoss,164,0.56,U3,4.92,0.06,8/10/2021,612948.6,6994125.8,612948.2,6994125.4,612952.2,6994121.9,0.56
Hegsetfoss,165,3.15,U3,3.76,3.33,8/10/2021,612801.4,6994085.1,612793.8,6994083.1,612799,6994089.9,7.87
Hegsetfoss,166,2.64,U3,4.09,3.84,8/10/2021,612787.4,6994081.4,612780.3,6994079.4,612779.5,6994085.8,7.41
Hegsetfoss,167,6.66,U1,2.68,18.18,8/10/2021,612740.5,6994068.2,612732.6,6994066,612737.7,6994062.2,8.22
Hegsetfoss,168,1.48,U3,4.22,1.41,8/10/2021,612704.7,6994058.2,612702.6,6994057.6,612702.3,6994063.6,2.19
Hegsetfoss,169,0.99,U3,3.97,1.02,8/10/2021,612656.2,6994044.7,612655.2,6994044.4,612654.4,6994049.1,0.99
Hegsetfoss,170,1.78,U3,4.08,2.5,8/10/2021,612649.4,6994042.8,612647.7,6994042.3,612647.6,6994047.4,1.78
Hegsetfoss,171,5.47,U2,3.72,16.58,8/10/2021,612620.9,6994034.8,612615.6,6994033.4,612618.7,6994028.3,5.47
Hegsetfoss,172,6.55,U1,2.81,20.1,8/10/2021,612601.1,6994029.3,612592.2,6994026.9,612592.3,6994032.2,9.2
Hegsetfoss,173,0.33,U3,4.94,0.13,8/10/2021,612506.5,6994003.4,612505.2,6994003,612504.6,6994009.3,1.36
Hegsetfoss,174,6.22,U2,3.91,10.88,8/10/2021,612442.7,6993985.6,612432.6,6993982.8,612432.8,6993989.2,10.5
Hegsetfoss,175,1.38,U3,3.9,2.43,8/10/2021,612425.9,6993980.9,612424.5,6993980.5,612426.3,6993975.6,1.38
Hegsetfoss,176,1.52,U3,4.49,1.34,8/10/2021,612417.2,6993978.5,612415.7,6993978.1,612417.7,6993972.1,1.52
Hegsetfoss,177,1.3,U3,4.48,1.47,8/10/2021,612407.4,6993975.8,612406.2,6993975.4,612408.7,6993969.7,1.3
Hegsetfoss,178,5.14,U2,3.75,7.68,8/10/2021,612386.5,6993970,612379,6993967.9,612383.7,6993975.7,7.85
Hegsetfoss,179,4.99,U2,3.49,12.8,8/10/2021,612357.6,6993962.1,612352.8,6993960.7,612357.2,6993955.7,4.99
Hegsetfoss,180,0.42,U3,4.68,0.13,8/10/2021,612344,6993958.3,612343.6,6993958.2,612345.3,6993953.6,0.42
Hegsetfoss,181,9.22,U1,2.1,39.49,8/10/2021,612333.2,6993955.3,612324.3,6993952.9,612327.2,6993958.1,9.22
Hegsetfoss,182,30.17,U1,2.8,92.35,8/10/2021,612319.1,6993951.5,612263.5,6993935.5,612268,6993931.4,57.8
Hegsetfoss,183,6.63,U3,3.5,11.58,8/10/2021,612255.3,6993933.2,612248.8,6993933.8,612253.1,6993927.4,6.63
Hegsetfoss,184,0.21,U3,4.9,0.06,8/10/2021,612089.1,6993959.3,612088.9,6993959.4,612088.2,6993954.2,0.21
Hegsetfoss,185,7.54,U3,3.01,17.28,8/10/2021,612048.8,6993965.8,612040.6,6993967.1,612042.7,6993961.4,8.31
Hegsetfoss,186,0.24,U3,4.86,0.06,8/10/2021,611985.5,6993975.9,611985.3,6993975.9,611986.3,6993982.3,0.24
Hegsetfoss,187,2.6,U3,3.82,6.02,8/10/2021,611875.8,6993993.4,611872.7,6993993.9,611873.7,6993988.4,3.1
Hegsetfoss,188,1.98,U1,1.4,2.18,8/10/2021,611854.3,6993996.8,611848.2,6993997.8,611848.5,6993999.4,6.17
Hegsetfoss,189,1.99,U3,4.54,2.43,8/10/2021,611788.1,6994007.4,611786.1,6994007.7,611787.7,6994013.9,1.99
Hegsetfoss,190,5.1,U3,3.82,5.57,8/10/2021,611662.9,6994026.9,611652.8,6994028.4,611660.7,6994032.8,10.19
Hegsetfoss,191,0.88,U3,4.51,0.38,8/10/2021,611071.6,6994120.3,611070.7,6994120.4,611070.2,6994116.1,0.88
Hegsetfoss,192,3.97,U3,3.36,6.53,8/10/2021,610815.4,6994161.9,610808.4,6994163,610814.2,6994164.6,7.13
Hegsetfoss,193,2.91,U2,3.9,5.89,8/10/2021,612209.7,7006040.8,612209.7,7006043.8,612203.8,7006042.4,2.91
Hegsetfoss,194,6.88,U2,3.89,10.69,8/10/2021,612209.5,7006051.1,612209.3,7006059.1,612203.5,7006058.3,7.99
Hegsetfoss,195,8.15,U2,3.89,10.94,8/10/2021,612209,7006069.8,612208.6,7006081.5,612203.1,7006070.3,11.77
Hegsetfoss,196,0.96,U3,4.5,0.58,8/10/2021,612204.9,7006196.3,612204.9,7006197.3,612198.3,7006196.9,0.96
Hegsetfoss,197,2.22,U2,4.56,1.02,8/10/2021,612204.3,7006220.4,612204.2,7006222.6,612197.4,7006221.2,2.22
Hegsetfoss,198,4.83,U3,4.19,4.61,8/10/2021,612197.6,7006257.6,612196,7006262.2,612202.1,7006261.9,4.83
Hegsetfoss,199,1.91,U2,4.63,0.77,8/10/2021,612185.2,7006293.4,612184.6,7006295.2,612190.7,7006297.3,1.91
Hegsetfoss,200,0.18,U3,4.82,0.06,8/10/2021,612163.1,7006326.2,612163,7006326.4,612159.4,7006323.8,0.18
Hegsetfoss,201,3.55,U2,4.35,1.98,8/10/2021,612146.2,7006349.9,612141.9,7006355.9,612140,7006347.5,7.36
Hegsetfoss,202,0.61,U2,4.85,0.32,8/10/2021,612089,7006430.8,612088.1,7006431.9,612093.5,7006435.8,1.44
Hegsetfoss,203,4.15,U2,4.22,4.61,8/10/2021,612077.7,7006446.6,612073,7006452,612082,7006450.8,7.26
Hegsetfoss,204,4.38,U3,4.28,2.62,8/10/2021,612045.4,7006469.5,612038.1,7006474.1,612042.7,7006478.2,8.59
Hegsetfoss,205,1.04,U2,4.69,0.64,8/10/2021,612032.5,7006477.7,612031,7006478.6,612034.4,7006483.9,1.74
Hegsetfoss,206,12.22,U2,3.54,22.53,8/10/2021,611921.6,7006515.7,611901,7006521.2,611903.3,7006526.2,21.29
Hegsetfoss,207,1.82,U2,4.81,0.83,8/10/2021,611797.6,7006548.7,611794.5,7006549.5,611795.2,7006542.2,3.28
Hegsetfoss,208,3.4,U2,4.12,5.38,8/10/2021,611787.9,7006551.2,611784.6,7006552.1,611786.6,7006557.6,3.4
Hegsetfoss,209,5.28,U2,4,8.64,8/10/2021,611776.9,7006554.1,611769.3,7006556.1,611775.7,7006560.2,7.82
Hegsetfoss,210,14.63,U1,2.84,42.88,8/10/2021,611763.3,7006557.7,611746.4,7006562.2,611750.4,7006565.6,17.49
Hegsetfoss,211,12.05,U2,3.1,42.62,8/10/2021,611718.1,7006567.8,611705,7006569.4,611708,7006573.7,13.24
Hegsetfoss,212,4.86,U2,4.01,5.89,8/10/2021,611666.3,7006574.3,611658.4,7006575.2,611663.7,7006580.2,7.9
Hegsetfoss,213,0.08,U2,4.89,0.06,8/10/2021,611641.6,7006577.3,611641.5,7006577.4,611642.4,7006583.9,0.08
Hegsetfoss,214,1.62,U3,4.53,0.7,8/10/2021,611609.6,7006581.3,611608,7006581.5,611610.1,7006587.6,1.62
Hegsetfoss,215,1.1,U2,4.68,0.26,8/10/2021,611598.8,7006582.7,611597.7,7006582.8,611599.3,7006589,1.1
Hegsetfoss,216,0.2,U3,4.87,0.06,8/10/2021,611590.1,7006583.8,611589.9,7006583.8,611590.9,7006590.4,0.2
Hegsetfoss,217,0.23,U2,4.91,0.06,8/10/2021,611426.4,7006604.2,611426.1,7006604.2,611425.4,7006597.8,0.23
Hegsetfoss,218,5.28,U2,3.87,4.93,8/10/2021,611393.2,7006608.3,611385.1,7006609.3,611391.5,7006613.7,8.17
Hegsetfoss,219,8.24,U2,3.04,20.54,8/10/2021,611374.6,7006610.6,611366.4,7006611.6,611373.8,7006614.8,8.24
Hegsetfoss,220,0.9,U3,4.79,0.32,8/10/2021,611339.8,7006614.8,611338.4,7006615,611340.4,7006621.2,1.44
Hegsetfoss,221,5.3,U2,3.39,10.94,8/10/2021,611329.9,7006616.7,611325.3,7006619.4,611325.1,7006613.1,5.3
Hegsetfoss,222,0.16,U3,4.94,0.06,8/10/2021,611312,7006627.1,611311.9,7006627.2,611308.4,7006621.2,0.16
Hegsetfoss,223,0.71,U2,4.61,0.32,8/10/2021,611273,7006649.8,611272.4,7006650.2,611269.2,7006644.4,0.71
Hegsetfoss,224,0.38,U2,4.75,0.13,8/10/2021,611149,7006740.5,611148.7,7006740.7,611144.6,7006735.2,0.38
Hegsetfoss,225,5.5,U2,3.84,5.82,8/10/2021,611093.8,7006782.2,611086.7,7006787.6,611085.3,7006781.4,8.99
Hegsetfoss,226,1.86,U3,4.17,3.26,8/10/2021,611005.8,7006848.8,611004.4,7006850,611008.9,7006854,1.86
Hegsetfoss,227,9.52,U2,3.63,15.04,8/10/2021,610902.2,7006995.1,610894.3,7007007.5,610899.7,7007008.1,14.79
Hegsetfoss,228,3.22,U2,4.31,2.56,8/10/2021,610890.5,7007013.3,610888.8,7007016,610894.8,7007017.8,3.22
Hegsetfoss,229,8.38,U2,3.7,13.18,8/10/2021,610863.2,7007056.2,610855.1,7007068.8,610852.7,7007061.9,14.99
Hegsetfoss,230,6.54,U2,3.63,13.95,8/10/2021,610831.2,7007106.3,610826.8,7007113.2,610833.6,7007111.8,8.21
Hegsetfoss,231,7.36,U2,3.55,12.42,8/10/2021,610823.9,7007117.6,610817.3,7007128.1,610828.3,7007121,12.39
Hegsetfoss,232,1.62,U3,4.64,1.09,8/10/2021,610811.2,7007137.6,610810.4,7007138.9,610815.5,7007141.8,1.62
Hegsetfoss,233,15.24,U2,3.41,23.55,8/10/2021,610806.3,7007145.4,610792.9,7007166.6,610802.6,7007160.5,25.1
Hegsetfoss,234,20.08,U1,2.38,70.4,8/10/2021,610785.4,7007178.4,610771.2,7007200.7,610782.4,7007191,26.47
Hegsetfoss,235,7.52,U2,4.14,4.8,8/10/2021,610688.1,7007331.4,610681,7007342.3,610689.3,7007339.9,12.97
Hegsetfoss,236,2.6,U2,4.5,1.34,8/10/2021,610670.3,7007358.8,610668.9,7007360.9,610674.5,7007363.3,2.6
Hegsetfoss,237,10.15,U1,2.61,37.82,8/10/2021,610658.7,7007376.5,610652.2,7007386.5,610661.1,7007380.4,11.88
Hegsetfoss,238,0.77,U3,4.8,0.19,8/10/2021,610645.2,7007396.9,610644.7,7007397.5,610650.3,7007400.6,0.77
Hegsetfoss,239,6.88,U2,3.86,9.86,8/10/2021,610635,7007411.2,610630.5,7007417.5,610637.5,7007416.9,7.77
Hegsetfoss,240,1.92,U2,4.75,1.54,8/10/2021,610624.7,7007425.7,610623.5,7007427.3,610618.6,7007422.1,1.92
Hegsetfoss,241,3.6,U2,4.1,4.67,8/10/2021,610616.7,7007436.9,610614.6,7007439.8,610620.3,7007441.7,3.6
Hegsetfoss,242,34.56,U1,2.19,130.69,8/10/2021,610610.1,7007446.1,610581.6,7007486.1,610603.8,7007461.7,49.14
Hegsetfoss,243,14.07,U2,3.18,61.25,8/10/2021,610571.1,7007500,610562.7,7007511.3,610563.5,7007501.6,14.07
Hegsetfoss,244,9.08,U2,4.28,7.3,8/10/2021,610557.3,7007518.6,610551.1,7007526.8,610547.5,7007522.3,10.35
Hegsetfoss,245,1.64,U2,4.42,1.98,8/10/2021,610518.4,7007570.5,610517.4,7007571.8,610512.4,7007567.8,1.64
Hegsetfoss,246,0.28,U3,4.92,0.06,8/10/2021,610510.4,7007581.2,610510.2,7007581.4,610505,7007577.5,0.28
Hegsetfoss,247,1.23,U2,4.26,0.83,8/10/2021,610501.6,7007593,610500.9,7007593.9,610496.3,7007589.6,1.23
Hegsetfoss,248,2.05,U2,3.93,1.92,8/10/2021,610496.4,7007600,610495.2,7007601.6,610490.7,7007597.6,2.05
Hegsetfoss,249,0.08,U2,4.95,0.06,8/10/2021,610491.7,7007606.2,610491.7,7007606.3,610486.1,7007602.1,0.08
Hegsetfoss,250,3.66,U2,3.35,8.77,8/10/2021,610487.2,7007612.2,610483.8,7007616.8,610479.8,7007613.1,5.74
Hegsetfoss,251,3.58,U2,3.63,9.15,8/10/2021,610477.1,7007625.8,610475,7007628.6,610470.8,7007624.9,3.58
Hegsetfoss,252,3.94,U2,3.95,6.78,8/10/2021,610440.6,7007661.3,610436.5,7007663,610437.2,7007656.1,4.5
Hegsetfoss,253,1.75,U2,4.7,0.64,8/10/2021,610427.7,7007666.6,610425.4,7007667.5,610423.2,7007661.1,2.45
Hegsetfoss,254,6.05,U2,3.76,15.87,8/10/2021,610410.4,7007673.6,610404.8,7007675.9,610408.1,7007680.5,6.05
Hegsetfoss,255,1.69,U2,3.88,1.66,8/10/2021,610391,7007681.5,610389.4,7007682.2,610387.3,7007676.7,1.69
Hegsetfoss,256,5.51,U1,2.94,7.04,8/10/2021,610351.8,7007697.5,610345.2,7007700.2,610348.6,7007693.7,7.08
Hegsetfoss,257,13.07,U2,3.51,29.63,8/10/2021,610339.6,7007702.5,610326.6,7007707.8,610333.1,7007710.9,14.02
Hegsetfoss,258,3.4,U2,4.03,6.27,8/10/2021,610317,7007711.8,610313.8,7007713.1,610317.6,7007718,3.4
Hegsetfoss,259,6.52,U2,3.49,8.96,8/10/2021,610306.3,7007716.1,610299.7,7007718.9,610306.3,7007722,7.13
Hegsetfoss,260,13.87,U2,3.81,18.43,8/10/2021,610292.1,7007722,610278.8,7007727.4,610291,7007728.6,14.37
Hegsetfoss,261,1.95,U2,4.33,1.66,8/10/2021,610272.2,7007730.1,610270.4,7007730.8,610269.1,7007724.5,1.95
Hegsetfoss,262,4.48,U2,3.86,9.73,8/10/2021,610253.7,7007737.6,610249.5,7007739.3,610249.2,7007733.7,4.48
Hegsetfoss,263,4.32,U2,4.31,3.97,8/10/2021,610108.1,7007796.2,610104.1,7007797.8,610108.8,7007802.5,4.32
Hegsetfoss,264,11.43,U2,3.18,43.33,8/10/2021,610082.8,7007805.8,610069.6,7007809.8,610070.5,7007804.5,13.77
Hegsetfoss,265,7.57,U3,4.28,4.48,8/10/2021,610064.7,7007811.4,610046,7007817.1,610054.8,7007817.6,19.54
Hegsetfoss,266,7.83,U1,2.73,15.42,8/10/2021,609955.1,7007845.1,609943.5,7007848.7,609944.5,7007843.5,12.15
Hegsetfoss,267,4.79,U2,4.19,5.89,8/10/2021,609929.4,7007853,609924.3,7007854.6,609922.8,7007848.6,5.36
Hegsetfoss,268,0.49,U3,4.81,0.13,8/10/2021,609916.7,7007856.9,609916.3,7007857,609915.9,7007855.2,0.49
Hegsetfoss,269,40.08,U1,2.67,183.68,8/10/2021,609892.9,7007864.2,609853.8,7007876.2,609869.7,7007866.5,40.87
Hegsetfoss,270,6.96,U1,2.4,54.72,8/10/2021,609554.6,7007968.6,609548,7007970.7,609551.8,7007973.1,6.96
Hegsetfoss,271,2.9,U2,3.82,2.5,8/10/2021,609258.6,7008059.5,609255.8,7008060.3,609255.6,7008054.4,2.9
Hegsetfoss,272,18.73,U1,2.84,53.76,8/10/2021,609250.2,7008062.1,609225.9,7008069.6,609241.8,7008069.6,25.47
Hegsetfoss,273,23.14,U1,1.9,78.34,8/10/2021,609207.7,7008075.2,609178.6,7008084.1,609184.9,7008085.9,30.5
Hegsetfoss,274,13.14,U1,1.89,101.82,8/10/2021,608917.8,7008164.5,608905.2,7008168.4,608907.7,7008164,13.14
Hegsetfoss,275,7.08,U3,3.38,15.55,8/10/2021,608836.2,7008189.5,608826.6,7008192.5,608835.7,7008194.1,10.05
Hegsetfoss,276,12.74,U2,3.23,24,8/10/2021,608775.1,7008208.2,608757.3,7008213.7,608763.9,7008216.6,18.64
Hegsetfoss,277,7.71,U2,3.62,17.47,8/10/2021,608750.2,7008215.9,608739.6,7008219.1,608745.8,7008222.6,11.02
Hegsetfoss,278,62.96,U1,1.52,206.78,8/10/2021,608626.7,7008253.8,608544.9,7008290.1,608589.1,7008265.9,89.69
Hegsetfoss,279,12.09,U2,3.48,20.67,8/10/2021,608504.8,7008309.5,608489.8,7008316.7,608494.1,7008321.1,16.63
Hegsetfoss,280,11.33,U2,3.02,21.7,8/10/2021,608466.2,7008328.1,608455.4,7008333.3,608457.1,7008326.3,11.98
Hegsetfoss,281,2.78,U2,4.22,2.88,8/10/2021,608450.7,7008335.6,608448.2,7008336.8,608452.4,7008342,2.78
Hegsetfoss,282,1.68,U2,4.42,2.05,8/10/2021,608439.6,7008340.9,608438.1,7008341.7,608436,7008335,1.68
Hegsetfoss,283,3.15,U3,4.31,3.2,8/10/2021,608427.5,7008346.7,608422.7,7008349.1,608423.8,7008341.3,5.38
Hegsetfoss,284,55.45,U1,1.08,330.75,8/10/2021,608357.4,7008380.6,608296.1,7008416.5,608309.6,7008404.7,71.23
Hegsetfoss,285,7.92,U3,3.59,8.13,8/10/2021,608292.9,7008421.1,608287.6,7008429,608286.7,7008421.8,9.59
Hegsetfoss,286,7.38,U2,3.96,11.46,8/10/2021,608284.1,7008434.2,608278.4,7008442.5,608275.6,7008435.6,10.03
Hegsetfoss,287,2.49,U3,3.88,4.42,8/10/2021,608274.6,7008448.1,608273.2,7008450.2,608277.5,7008451.8,2.49
Hegsetfoss,288,1.4,U3,4.45,0.64,8/10/2021,608259.1,7008493.4,608263.6,7008500.9,608265.4,7008495.9,8.7
Hegsetfoss,289,1.08,U3,4.62,0.9,8/10/2021,608268.9,7008509.9,608272.4,7008515.6,608269.9,7008515.3,6.71
Hegsetfoss,290,4.4,U3,4.18,3.39,8/10/2021,608289.6,7008544.5,608294.9,7008553.2,608294.6,7008544.3,10.19
Hegsetfoss,291,2.02,U3,4.53,1.15,8/10/2021,608400.3,7008729.4,608401.4,7008731.2,608396.1,7008734.2,2.02
Hegsetfoss,292,3.35,U2,3.98,3.58,8/10/2021,608407.3,7008741,608409,7008743.9,608413,7008739.9,3.35
Hegsetfoss,293,5.98,U2,4.34,4.48,8/10/2021,608437.7,7008791.9,608442.3,7008799.6,608435.5,7008799.2,8.99
Hegsetfoss,294,10.97,U2,3.46,17.66,8/10/2021,608497.6,7008888.3,608507.4,7008898.3,608497.7,7008895.2,13.95
Hegsetfoss,295,6.46,U2,3.94,7.36,8/10/2021,608515.7,7008906.8,608521.2,7008912.4,608523.7,7008907.4,7.83
Hegsetfoss,296,1.49,U2,3.7,1.34,8/10/2021,608526,7008917.3,608527,7008918.4,608529.9,7008914,1.49
Hegsetfoss,297,1.96,U2,4.24,0.96,8/10/2021,608530.8,7008922.2,608532.1,7008923.6,608535.4,7008919.3,1.96
Hegsetfoss,298,1.69,U3,4.38,0.7,8/10/2021,608550.8,7008942.7,608552.7,7008944.7,608547,7008947.1,2.78
Hegsetfoss,299,3.45,U2,3.69,10.75,8/10/2021,608570.7,7008962.5,608575,7008966.7,608575.1,7008960.2,6.05
Hegsetfoss,300,1.1,U3,4.42,0.38,8/10/2021,608580.2,7008971.9,608581,7008972.7,608582.6,7008970.2,1.1
Hegsetfoss,301,0.31,U3,4.92,0.19,8/10/2021,608586.7,7008978.3,608587.6,7008979.2,608582.9,7008982.2,1.23
